date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-01-01,0,3.62962963,0,0,0,0,10.37037037,0,1.866666667,0,1.348148148,0,0
2020-01-02,0,5.941176471,0,0,0,0,0,0,4.04,0,0,0,0
2020-01-03,9.236434109,0,0,0,0,0,0,0,12.31524548,0,5.295555556,0,0
2020-01-04,9.863203761,7.989195046,0,0,0,0,0,0,5.030233918,0,5.622026144,0,0
2020-01-05,5.083333333,4.066666667,0,33.88888889,0,0,0,0,2.711111111,0,0,0,0
2020-01-06,0,0,0,0,0,0,12.12121212,0,4,0,0,0,0
2020-01-07,7.932142857,3.084722222,0,29.08452381,44.06746032,0,0,0,8.813492063,0,2.203373016,0,0
2020-01-08,19.29239766,0,0,0,0,0,0,0,3.472631579,0,7.331111111,0,0
2020-01-09,0,8.474285714,12.83982684,25.67965368,0,0,0,0,1.797575758,0,0,0,0
2020-01-10,4.470588235,0,0,0,0,0,21.28851541,0,3.619047619,0,0,0,0
2020-01-11,29.44522145,0,0,0,0,0,0,0,3.827878788,0,16.19487179,0,0
2020-01-12,0,16.98333333,0,0,0,0,0,0,19.5210728,0,5.856321839,0,0
2020-01-13,6.323423423,4.925614035,0,0,0,0,0,0,6.656235183,0,0,0,0
2020-01-14,0,5.102857143,12.44599303,0,0,0,0,0,4.356097561,0,0,0,0
2020-01-15,3.134722222,2.466666667,0,0,0,0,0,0,5.138888889,0,0,0,0
2020-01-16,4.1124617,9.907294095,16.07598664,0,0,0,0,0,4.486321854,0,2.430091004,18.69300773,0
2020-01-17,4.6,3.6,17.6,0,0,0,20,0,1.2,0,2.6,0,0
2020-01-18,16.75707602,6.855167464,0,0,0,0,38.08426369,0,9.521065922,0,14.4720202,0,0
2020-01-19,4.623214286,3.734134615,17.78159341,0,0,0,0,0,9.957692308,0,0,0,0
2020-01-20,2.674,5.457142857,5.075142857,0,0,0,0,0,1.091428571,0,2.292,0,0
2020-01-21,0,10.21212121,0,23.7491191,0,0,0,0,2.612403101,0,3.562367865,0,0
2020-01-22,5.343643264,4.325806452,0,0,0,0,25.4459203,0,4.325806452,0,3.053510436,23.66470588,0
2020-01-23,35.86722689,6.785691574,0,0,96.93845106,0,41.68353395,0,16.47953668,0,4.846922553,0,0
2020-01-24,0,17.28903413,12.10232389,0,0,0,0,0,5.878271605,0,5.18671024,14.00411765,0
2020-01-25,6.968160377,13.67824074,13.67824074,25.8080014,0,0,16.25904088,0,9.290880503,0,0,0,0
2020-01-26,11.32015306,10.87622549,17.31317527,0,0,0,0,0,22.19637855,0,0,0,0
2020-01-27,62.96694444,59.65289474,0,0,0,0,0,0,110.4683236,0,5.523416179,0,0
2020-01-28,28.2983269,58.9548477,21.81329365,0,0,0,26.52968147,0,33.01471471,0,2.947742385,51.2907175,0
2020-01-29,53.13806452,166.0564516,51.4775,0,0,0,0,0,58.11975806,0,8.302822581,0,0
2020-01-30,16.40115385,35.65468227,0,0,0,0,0,0,35.65468227,0,9.270217391,0,0
2020-01-31,15.37528238,21.66517063,14.90936473,0,0,0,0,0,23.29588239,0,2.096629415,17.23895297,0
2020-02-01,13.88769231,19.00421053,9.502105263,0,0,0,0,0,9.502105263,73.09311741,0,10.96396761,0
2020-02-02,33.04756372,17.67660385,21.51934382,76.85479934,0,0,23.8249878,0,22.28789181,0,6.148383948,0,0
2020-02-03,14.34090391,15.45837694,18.62455053,0,0,0,0,0,18.43830502,0,7.636065717,0,0
2020-02-04,3.817777778,14.68376068,0,0,0,0,0,0,7.048205128,0,0,0,0
2020-02-05,13.12357143,10.47093465,0,0,0,0,0,0,13.9612462,0,9.77287234,0,0
2020-02-06,5.675404858,11.1551061,10.76369887,19.57036158,0,0,0,0,5.088294011,0,3.131257853,0,0
2020-02-07,7.786666667,43.25925926,0,0,0,0,0,0,10.38222222,0,0,0,0
2020-02-08,4.043345543,13.23276723,0,0,0,0,18.37884338,0,7.719114219,0,4.778499278,18.19505495,0
2020-02-09,0,20.39754983,23.99711745,0,0,0,0,0,8.398991108,0,10.3187605,0,0
2020-02-10,6.709308511,5.367446809,0,0,0,0,0,0,7.0075,0,7.454787234,0,0
2020-02-11,4.667363014,3.744148352,0,0,0,0,0,0,5.128970345,0,1.33353229,0,0
2020-02-12,0,15.74297189,0,0,0,0,0,0,13.06666667,0,3.778313253,0,0
2020-02-13,15.47309859,24.95661063,0,0,0,0,0,0,17.71919355,0,2.994793276,0,0
2020-02-14,8.351851852,2.255,0,0,0,0,0,0,6.013333333,0,0,0,0
2020-02-15,2.267241379,5.39819376,0,0,0,0,10.79638752,0,3.130952381,0,1.295566502,0,0
2020-02-16,3.01875,5.03125,0,0,33.54166667,0,14.0875,0,2.683333333,0,5.03125,0,0
2020-02-17,1.975,3.291666667,0,0,0,0,9.216666667,0,3.761904762,0,0,9.404761905,0
2020-02-18,6.511783217,8.062207792,0,0,0,0,0,0,6.821868132,0,0,31.00849151,0
2020-02-19,11.66666667,5.833333333,0,35,0,0,0,0,5.833333333,0,0,0,583.3333333
2020-02-20,11.57072165,14.11063616,0,0,0,0,0,0,3.950978124,0,0,13.68731707,0
2020-02-21,0,0,19.08045977,0,0,0,0,0,5.533333333,0,2.862068966,0,0
2020-02-22,0,6.731707317,21.03658537,0,0,0,13.46341463,0,8.625,0,3.365853659,0,0
2020-02-23,8.062564103,4.278095238,0,0,0,0,0,0,8.227106227,0,0,0,0
